1,1,1,2019-05-15 20:42:30,51.06071,16.84299,14117.36,
1,1,1,2019-05-15 20:43:00,51.06209,16.83950,14459.93,
1,1,1,2019-05-15 20:44:00,51.06250,16.83883,14575.96,
1,1,1,2019-05-15 20:45:00,51.06321,16.83414,14929.66,
1,1,1,2019-05-15 20:45:15,51.06345,16.83266,15019.41,
1,1,1,2019-05-15 20:46:00,51.06364,16.83098,15109.71,
1,1,1,2019-05-15 20:49:00,51.06329,16.81253,16171.81,
1,1,1,2019-05-15 20:50:00,51.06296,16.81050,16269.04,
1,1,1,2019-05-15 20:50:15,51.06277,16.80818,16334.18,
1,1,1,2019-05-15 20:50:30,51.06272,16.80543,16432.38,
1,1,1,2019-05-15 20:50:45,51.06293,16.80222,16531.17,
1,1,1,2019-05-15 20:51:00,51.06348,16.79956,16630.56,
1,1,1,2019-05-15 20:51:15,51.06417,16.79727,16697.15,
1,1,1,2019-05-15 20:51:30,51.06487,16.79524,16797.53,
1,1,1,2019-05-15 20:52:00,51.06560,16.79357,16864.79,
1,1,1,2019-05-15 20:52:15,51.06622,16.79222,16966.18,
1,1,1,2019-05-15 20:52:30,51.06676,16.79114,17068.18,
1,1,1,2019-05-15 20:53:00,51.06742,16.79014,17170.79,
1,1,1,2019-05-15 20:53:15,51.06787,16.78881,17239.54,
1,1,1,2019-05-15 20:53:30,51.06823,16.78750,17343.19,
1,1,1,2019-05-15 20:57:00,51.07418,16.77068,18488.26,
1,1,1,2019-05-15 21:00:00,51.07593,16.75808,19474.07,
1,1,1,2019-05-15 21:00:15,51.07586,16.75644,19552.05,
1,1,1,2019-05-15 21:00:30,51.07560,16.75490,19669.59,
1,1,1,2019-05-15 21:01:00,51.07530,16.75275,19748.35,
1,1,1,2019-05-15 21:01:15,51.07465,16.74785,19946.63,
1,1,1,2019-05-15 21:02:00,51.07447,16.74545,20066.55,
1,1,1,2019-05-15 21:02:15,51.07428,16.74328,20146.89,
1,1,1,2019-05-15 21:02:30,51.07404,16.74131,20227.56,
1,1,1,2019-05-15 21:03:00,51.07421,16.73551,20471.51,
1,1,1,2019-05-15 21:03:15,51.07409,16.73260,20553.48,
1,1,1,2019-05-15 21:03:30,51.07407,16.72938,20677.04,
1,1,1,2019-05-15 21:04:00,51.07451,16.72645,20759.83,
1,1,1,2019-05-15 21:04:15,51.07479,16.72324,20842.96,
1,1,1,2019-05-15 21:04:30,51.07505,16.72057,20968.27,
1,1,1,2019-05-15 21:06:00,51.07414,16.70693,21434.21,
1,1,1,2019-05-15 21:06:15,51.07401,16.70320,21563.07,
1,1,1,2019-05-15 21:07:00,51.07410,16.70270,21563.07,
1,1,1,2019-05-15 21:10:00,51.07336,16.66883,22577.10,
1,1,1,2019-05-15 21:10:15,51.07323,16.66531,22667.50,
1,1,1,2019-05-15 21:10:30,51.07302,16.66222,22758.26,
1,1,1,2019-05-15 21:10:45,51.07297,16.65833,22849.39,
1,1,1,2019-05-15 21:11:00,51.07308,16.65456,22940.87,
1,1,1,2019-05-15 21:11:15,51.07320,16.65105,23032.73,
